"index","station_name","latlng","lat","lng","district"
"0","南路竹","22.85523,120.26117","22.85523","120.26117","高雄市路竹區"
"0","路竹","22.859,120.26014","22.859","120.26014","高雄市路竹區"
"0","北路竹","22.86303,120.25795","22.86303","120.25795","高雄市路竹區"
"0","國際商工(輕軌五權國小站)","22.62103,120.32644","22.62103","120.32644","高雄市苓雅區"
"0","高新醫院","22.86554,120.25679","22.86554","120.25679","高雄市路竹區"
"0","中山大仁路口","22.87349,120.25422","22.87349","120.25422","高雄市路竹區"
"0","大湖火車站","22.87771,120.25243","22.87771","120.25243","高雄市湖內區"
"0","橡膠廠","22.59477,120.28243","22.59477","120.28243","高雄市前鎮區"
"0","烏松","22.59842,120.28018","22.59842","120.28018","高雄市前鎮區"
"0","南勢巷站","22.77639,120.41319","22.77639","120.41319","高雄市燕巢區"
"0","台農飼料廠","22.8982,120.23618","22.8982","120.23618","高雄市湖內區"
"0","牛蹄寮(富樂夢觀光工廠)","22.90227,120.2319","22.90227","120.2319","高雄市湖內區"
"0","太爺(湖內國中)","22.90895,120.22739","22.90895","120.22739","高雄市湖內區"
"0","嘉南藥理大學","22.92101,120.22506","22.92101","120.22506","區"
"0","三信家商","22.62199,120.32926","22.62199","120.32926","高雄市苓雅區"
"0","保安里","22.92356,120.22375","22.92356","120.22375","區"
"0","橋頭市場","22.75525,120.31129","22.75525","120.31129","高雄市橋頭區"
"0","台糖花卉中心","22.74092,120.3251","22.74092","120.3251","高雄市楠梓區"
"0","牛稠仔","22.95366,120.21774","22.95366","120.21774","區"
"0","二空新村","22.96123,120.21711","22.96123","120.21711","區"
"0","空軍醫院","22.96553,120.21644","22.96553","120.21644","區"
"0","大同巷","22.96871,120.21598","22.96871","120.21598","區"
"0","大林(大同路二段)","22.97461,120.21436","22.97461","120.21436","區"
"0","大同路","22.97678,120.2139","22.97678","120.2139","區"
"0","南台南","22.98133,120.21137","22.98133","120.21137","區"
"0","五塊厝(三多一路)","22.62288,120.33177","22.62288","120.33177","高雄市苓雅區"
"0","健康路","22.98132,120.20664","22.98132","120.20664","區"
"0","南門路","22.98166,120.20374","22.98166","120.20374","區"
"0","府前路口","22.98814,120.20462","22.98814","120.20462","區"
"0","忠義路","22.99063,120.20264","22.99063","120.20264","區"
"0","西門路二段","22.99521,120.1993","22.99521","120.1993","區"
"0","西門路三段","22.99929,120.20108","22.99929","120.20108","區"
"0","成功路(台南)","22.99848,120.20452","22.99848","120.20452","區"
"0","台南火車站","22.99746,120.21003","22.99746","120.21003","區"
"0","頂烏松","22.59842,120.28018","22.59842","120.28018","高雄市前鎮區"
"0","中洲三路","22.60182,120.27692","22.60182","120.27692","高雄市前鎮區"
"0","自由路(被服廠)","22.62499,120.34559","22.62499","120.34559","高雄市鳳山區"
"0","鳳鳴里","22.51372,120.35934","22.51372","120.35934","高雄市小港區"
"0","七賢二路","22.63478,120.30078","22.63478","120.30078","高雄市新興區"
